id,salary
0,"50,000-70,000 EUR"
1,80.000 EUR 
2,"60,000"
3,50.000-60.000
4,64.000-76.000
5,50.000-55.000
6,56.000 €
7,60000-70000
8,"50,000 - 80,000"
9, €62K - €72K
10,89.000€
11,>68K
12,"65,000€ - 75,000€"
13,40000
14,75000-120000
15,50.000-70.000
16,50.000 - 60.000
17,75000-120000
18,"80,000 - 90,000"
19,-
20,65.000€ - 75.000€
21,80.000 - 85.000€
22,60000
23,45-60k
24,60.000 - 70.000 €
25,60000-75000
26,70.000
27,60 - 70
28,45000 - 70000
29,45.000-50.000€
30,45.000
31,40.000 - 60.000
32,70+
33,40000€ - 45000€
34,tbd
35,80000
36,65000 - 85000 €
37,65.000
38,"50,000 - 65,000"
39,"55,000-70,000"
40,55000-60000
41,competitive 
42,50 - 60
43,60.000 €
44,60.000-85.000
45,60000-110000
46,"50,000-65,000"
47,65.000€
48,65.000-75.000€
49,tbd
50,">63,000"
51,50.000-65.000
52,60000-70000
53,>75.000 EUR
54,80000 - 85000
55,"50,000 € - 60,000 €"
56,"60,000-65,000"
57,>75.000
58,65.000 €
59,50.000-62.000
60,60000 - 70000
61,90.000
62,Negotiable
63,60000€ - 65000€
64,35.000-43.000
65,50000 - 65000
66,55000 - 65000
67,73.000€
68,60.000-75.000
69,"60,000-75,000"
70,60-70k
71,50000 - 60000
72,60.000 - 75.000
73,"50,000 - 60,000 €"
74,50.000 € - 60.000 €
75,40000-75000
76,80.000 €
77,50.000 - 60.000
78,72000
79,"€60,000 - €65,000"
80,60000
81,45000
82,85k
83,€45000-€62000
84,>40000
85,75.000
86,70000
87,38000-52000
88,tbd
89,60000-70000
90,60000
91,80.000-85.000
92,72000
93,60.000 - 75.000
94,55.000-85.000 Euro
95,45.000
96,"70,000-75,000"
97,54000€ - 66000€
98,45000 - 80000
99,80000
100,"60,000 - 75,000 EUR"
101,45000
102,up to 70.000/year
103,55000
104,"€50,000-€57,000"
105,63000
106,"EUR 50,000-60,000"
107,55k - 62k
108,can we discuss
109,45000
110,>50.000 
111,around 50.000 €
112,70.000
113,"57,600€"
114,60k
115,"42,000 - 55,000 EUR"
116,85´000
117,60000
118,70000
119,"50,000 - 70,000"
120,75000-85000
121,45-55000
122,65.000
123,60-80k
124,48.000 - 60.000
125,80.000€ - 85.000 €
126,55.000  -  65.000
127,30.000€ - 40.000€
128,€55.000 - 70.000
129,80000
130,60000
131,negotiable
132,75-95k
133,60.000-70.000€
134,68.000 - 75.000
135,48000
136,65.000 - 85.000
137,"70,000"
138,65.000 - 75.000
139,40 000 - 60 000
140,€60.000 - €65.000
141,50.000 - 80.000
142,90000-95000
143,50000 - 70000
144,"65,000 € - 70,000 €"
145,"45,000€-50,000€"
146,80'000 EUR
147,70.000 - 90.000
148,65000
149,"45,000 - 50,000"
150,90000-110000
151,75.000€
152,To be discussed
153,60000
154,40000-80000
155,"60,000-85,000€"
156,72000
157,55.000-60.000€
158,"55,000-70,000"
159,40.000 - 50.000 EUR
160,60.000-75.000
161,"45,000€-70,000€"
162,53.000€
163,tbd
164,60000€ - 75000€
165,"30,000 - 60,000 €"
166,"60,000-80,000"
167,40000-65000
168,45.000 - 55.000
169,75000
170,70.000
171,"55,000-65,000"
172,"55,000-60,000"
173,55.000
174,80 to 90K
175,65.000
176,55
177,€75.000
178,55-65 k
179,"50,000 € - 70,000 €"
180,"70,000€"
181,"60,000€ - 65,000€"
182,40000
183,70.000 - 80.000€
184,"€75,000 - €80,000"
185,60-63
186,50.000€ - 63.000€
187,45.000 - 65.000
188,"€63,000"
189,70000-76000
190,EUR 65.000 - 80.000
191,50000
192,55.000
193,45.000€ - 65.000€
194,"50,000€-70,000€"
195,65-78
196,45-70k
197,55 000 - 85 000
198,50.000
199,40000-70000
200,"60,000 - 75,000"
201,"50,000€ - 70,000€"
202,65k
203,"65,000 - 85,000"
204,"€45,000 - €55,000"
205,"€75,000 - €100,000"
206,45.000 - 55.000
207,50000-60000
208,50500 - 75500
209,60000 
210,70000
211,55000-65000
212,+/- 67500
213,"70,000€"
214,"45,000€ - 75,000€"
215,"60,000 € - 80,000€"
216,50.000 -60.000
217,65.000
218,40k €
219,€75.000 - €90.000
220,50.000
221,50.000 - 70.000
222,negotiable
223,50.000-85.000
224,€ 48 700 - € 65 900
225,50.000-65.000
226,Competitive
227,50.000-70.000€
228,70K
229,50-60.000
230,50.000-60.000
231,80.000€ - 120.000€
232,tbd
233,38.000€
234,"60,000€ - 70,000€"
235,"60,000-75,000 €"
236,75000-120000
237,60000€ - 70000€
238,"45,000€ - 65,000€"
239,"60,000-80,000"
240,85000
241,45-55k
242,90000 - 110000
243,"55,000-80,000"
244,60.000-80.000€
245,>70k
246,> 45.000
247,60.000 € - 75.000 €
248,"60,000-80,000"
249,67000
250,to be discussed
251,50.000€ - 60.000€
252,55000-63000
253,80-90000
254,60 000 - 85 000
255,50000-60000
256,50.000 €
257,"60,000 - 90,000"
258,75000-80000
259,50000-65000
260,45 - 65k
261,"55,000-70,000€"
262,55.000-60.000
263,80.000+
264,52000 - 70000
265,"€60,000-€70,000"
266,"44,000-50,000"
267,55.000-65.000
268,48000
269,50000-65000
270,50-70k
271,80.000
272,€50.000-55.000
273,65465
274,82000
275,32500
276,70.000-85.000
277,50.000 - 80.000 EUR
278,50000-70000
279,70 - 75K 
280,65000-85000
281,60.000+
282,65.000 
283,70000-80000 €
284,60.000-72.000
285,40000-60000
286,E40.000 - E50.000
287,"60,000€ - 75,000€"
288,60.000€ - 80.000€
289,">70,000"
290,60.000-80.000
291,"50,000-60,000"
292,40 000 - 60 000
293,"50,000€ - 55,000€"
294,"> €50,000"
295,tbd.
296,50.000 - 60.000
297,65.000 - 78.000
298,75000-120000
299,55.000 - 60.000
300,50.000 - 55.000
301,65.000€
302,75000-120000
303,
304,75000-120000
305,70.000
306,65000
307,54000
308,50 000 - 90 000
309,60000 -65000€
310,"60,000 - 70,000 "
311,"75,000-80,000"
312,60000€
313,"€40,000 - €50,000 "
314,"70,000"
